original_value,real_value_english
"arts, culture and history",arts_music_literature
"lands, forests and wildlife",nature_and_environment
"roads, driving and transport",transport
agriculture and agri-business,agriculture
Agriculture and Food,agriculture
business and economy,economics_and_industry
business and industry,economics_and_industry
communications,society_and_culture
communities and social services,society_and_culture
community services,society_and_culture
crime and justice,law
Culture and Recreation,society_and_culture
departmental views,government_and_politics
Economy and Business,economics_and_industry
education - early childhood,education_and_training
education - post-secondary and skills training,education_and_training
education - primary to grade 12,education_and_training
Education and Training,education_and_training
Education and Community,education_and_training
employment and labour,labour
environment and energy,nature_and_environment
Environment and Food,nature_and_environment
Environment and Natural Resources,nature_and_environment
financial services,economics_and_industry
fishing and aquaculture,agriculture
government administration,government_and_politics
Government and Finance,government_and_politics
Government and Economy,government_and_politics
health and wellness,health_and_safety
Health,health_and_safety
Health and Home,health_and_safety
Housing Communities and Social Support,society_and_culture
immigration and migration,society_and_culture
Infrastructure and Transportation,transport
internal government services,government_and_politics
interprovincial and international affairs,government_and_politics
Justice and Public Safety,law
mines and minerals,economics_and_industry
municipalities,society_and_culture
nature and environment,nature_and_environment
permits and licensing,society_and_culture
population and demographics,society_and_culture
procurement and contracts,economics_and_industry
public accounts,government_and_politics
public opinion research,society_and_culture
public service,society_and_culture
quarterly datasets,economics_and_industry
Transportation,transport
loi-justice-securite-publique,law
infrastructures,economics_and_industry
economie-entreprises,economics_and_industry
gouvernement-finances,government_and_politics
sante,health_and_safety
education-recherche,education_and_training
societe-culture,society_and_culture
agriculture-alimentation,agriculture
environnement-ressources-naturelles-energie,nature_and_environment
politiques-sociales,society_and_culture
unknown,government_and_politics
transport,transport
tourisme-sports-loisirs,society_and_culture
agriculture,agriculture
education - early childhood to grade 12,education_and_training
economy,economics_and_industry
government,government_and_politics
geoscientificinformation,government_and_politics
environment,nature_and_environment
senior executive expenses,economics_and_industry
tourism & parks,society_and_culture
biota,nature_and_environment
general,government_and_politics
inland waters,nature_and_environment
location,society_and_culture
society,society_and_culture
economy and finance,economics_and_industry
education - adult and continuing,education_and_training
education - post - secondary and skills training,education_and_training
energy and natural resources,nature_and_environment
families and children,persons
housing and utilities,society_and_culture
indigenous peoples,persons
laws and justice,law
persons with disabilities,persons
population and demography,society_and_culture
safety and emergency services,health_and_safety
"science, technology and innovation",science_and_technology
seniors,persons
society and communities,society_and_culture
sports and recreation,society_and_culture
