Group,Theme,Keywords
Buildings,Buildings,"address,base,building,building footprint,building point,school,hospital,police,fire station,federal building,border station,military building,prison,heritage building,heritage site,university,monument,house,housing,home,arena,facility,office"
Elevation,Elevation,"contour,dem,dsm,dtm,elevation,spot,elevation point"
Lidar,Lidar,lidar
Transportation,Transportation,"road,railway,transportation,port,marine,navigable waterway,winter road,airport,public transportation"
Hydrology,Hydrography,"base,hydrography,wetland,aquifer,water,watershed,basin,river,lake,ocean,sea,aquatic,island,stream,creek,groundwater,hydrologic"
Imagery,Imagery,"imagery,uav,drone,ortho"
Land Cover,Land Cover,"base,land cover,land parcel,municipal boundary,provincial boundary,federal boundary,federal land,protected area,contaminated land,military base,flood zone,park,vegetation"
Geodetic,Geodetic,"geodetic,control point,control monument,survey monument"
Aboriginal Lands,Aboriginal Lands,"aboriginal,metis,first nation,inuit,indigenous"
Telecom,Telecom,"cable,telecommunication,tower,fibre optic,service coverage,data center,storage capacity,satellite receiving station"
Mining,Mining,"mining,mining project,tailing pond"
Adaptation,Adaptation,"shorelines data,permafrost,agriculture"
Economy,Economy,"economic data,quality of life,education level,revenue,census"
Energy,Energy,"energy,pipeline,transmission line,power plant,well,dam,nuclear plant,alternative energy,hydrographic network"
