Group,Theme,Keywords
Biodiversity,Species at Risk,species at risk|residence|"seasonal movement"|"movement corridor"|"habitat requirement"|"key habitat area"|critical habitat|recovery habitat|cosewic|protected area|cosewic|species critical habitat
Biodiversity,Marine Mammals,marine mammal|"toothed whale"|"baleen whale"|seal|"sea lion"|"cetacean habitat"|"killer whale"
Biodiversity,Conservation,nafo|closure area|vulnerable marine ecosystem|ocean protection|marine protected area|ecological reserve|carts|oceans act|significant area|marine conservation area|ocean management|mpa|ebsa|ramsar|convention on wetlands|shorebird reserve|unesco biosphere reserve|important bird area|shorebird reserve
Biodiversity,Biodiversity,coral area|polyp|sponge area|coral field|gorgonian|sponge field|aquatic ecosystem|marine bioregion|ecological framework|biological diversity|biogeographic zone|aquatic plant|ground fish|shellfish|pelagic|marine bird|seabird
Land,Physical Geography,seafloor|ocean canyon|seabed feature
Socio-Economic,Aboriginal Peoples,aboriginal|indigenous|first nation|metis|traditional territory|native reserve|native community|native hunting camp|native hunting cabin|native drinking water source|native commercial activity|traditional use|country food|native harvest|travel route|traditional practice
Socio-Economic,Fisheries,commercial fishery|commercial fishing|recreational fishery|aboriginal fishery|pacific salmon|groundfish|forage fish|crab
Socio-Economic,Marine Commercial Use,marine commercial|seafood harvesting|marine fish harvesting|guided sport fishing|marine-based tourism
Socio-Economic,Shipping,ferry route|shipping lane|shipping route|aerial surveillance|vessel surveillance|vessal sightings|commercial shipping
Socio-Economic,Heritage,coastal archaeological site
Socio-Economic,Facilities & Services,search and rescue|submarine cable|communication|buoy|mooring
Socio-Economic,Oil & Gas,oil|gas|nalcor|petroleum
Water,Marine Water Quality,water quality|water temperature|water salinity|water pollution|water pollutant|water testing|water monitoring
Water,Aquaculture,aquaculture|aquafarming|fish farming|shrimp farming|oyster farming|mariculture|algaculture|seaweed farming
Water,Ocean Current,ocean current|thermohaline circulation|gulf stream
Water,Sea Ice Fraction,sea ice fraction|solar radiation
Water,Metocean,bathymetry|sea level|storm surge|tide|tsunami|wave height|stratification
Water,Coastal Monitoring,coastal monitoring
